number,localization_key,english,badini_kurdish,feature,context,placeholders,translator_notes
97,notificationQueueOpenedNext,Open Live Queue when you are ready to follow your place.,,Notifications,ARB source,,
98,notificationQueueOpenedWhy,The clinic has started today's patient queue.,,Notifications,ARB source,,
99,notificationReservedHappened,Your appointment check-in was updated.,,Notifications,ARB source,,
100,notificationReservedNext,Please wait for guidance from reception.,,Notifications,ARB source,,
101,notificationReservedType,Appointment update,,Notifications,ARB source,,
102,notificationReservedWhy,The clinic recorded your arrival.,,Notifications,ARB source,,
103,notifications,Notifications,,Notifications,ARB source,,
104,notificationsEmpty,You're all caught up,,Notifications,ARB source,,
105,notificationsEmptyBody,"Appointment, clinic, and queue updates will appear here.",,Notifications,ARB source,,
106,notificationsUnavailable,Notifications are unavailable,,Notifications,ARB source,,
107,notificationsUnavailableBody,We couldn't load your updates. Please try again.,,Notifications,ARB source,,
108,notificationTimeEarlier,Updated earlier,,Notifications,ARB source,,
109,notificationTimeJustNow,Updated just now,,Notifications,ARB source,,
110,notificationTimeMinutesAgo,Updated {minutes} minutes ago,,Notifications,ARB source,minutes,Preserve placeholders exactly.
111,notificationUpdates,{count} queue updates,,Notifications,ARB source,count,Preserve placeholders exactly.
112,notificationWelcome,Welcome to Saxlem,,Notifications,ARB source,,
113,notificationWelcomeHappened,Your Saxlem experience is ready.,,Notifications,ARB source,,
114,notificationWelcomeNext,Explore trusted doctors and keep your care organized.,,Notifications,ARB source,,
115,notificationWelcomeWhy,You started using Saxlem on this device.,,Notifications,ARB source,,
116,openHealthcareSearch,Open healthcare search,,Shared / Home,ARB source,,
117,openLiveQueue,Open Live Queue,,Live Queue,ARB source,,
118,openSearchFilters,Open search filters,,Shared / Home,ARB source,,
119,otpBody,We sent a 6-digit code to {phone}.,,Authentication,ARB source,phone,Preserve placeholders exactly.
120,otpExpired,This code has expired. Request a new one.,,Authentication,ARB source,,
121,otpHint,Enter 6 digits,,Authentication,ARB source,,
122,otpInvalid,That code is not correct. Please try again.,,Authentication,ARB source,,
123,otpLabel,6-digit verification code,,Authentication,ARB source,,
124,otpLimited,Too many attempts. Please request a new code.,,Authentication,ARB source,,
125,otpTitle,Enter your code,,Authentication,ARB source,,
126,patientGender,"{gender, select, female {Female} male {Male} other {Not specified}}",,Patient Profiles,ARB source,"gender,Female,Male,Not",Preserve placeholders exactly.
127,patientRelationship,"{relationship, select, mother {Mother} father {Father} wife {Wife} husband {Husband} son {Son} daughter {Daughter} brother {Brother} sister {Sister} grandfather {Grandfather} grandmother {Grandmother} me {Me} other {Other}}",,Patient Profiles,ARB source,"relationship,Mother,Father,Wife,Husband,Son,Daughter,Brother,Sister,Grandfather,Grandmother,Me,Other",Preserve placeholders exactly.
128,patientsAhead,Patients ahead,,Patient Profiles,ARB source,,
129,personalizedFeatureBody,Sign in with your mobile number to use appointments and other personalized care features.,,Shared / Home,ARB source,,
130,personalizedFeatureTitle,Verification required,,Shared / Home,ARB source,,
131,phoneBody,We'll send a one-time code to securely verify your number.,,Authentication,ARB source,,
132,phoneHint,750 123 4567,,Authentication,ARB source,,
133,phoneInvalid,Enter a valid Iraqi mobile number.,,Authentication,ARB source,,
134,phoneNumber,Mobile number,,Authentication,ARB source,,
135,phoneTitle,Your mobile number,,Authentication,ARB source,,
136,popularSpecialties,Popular specialties,,Shared / Home,ARB source,,
137,profile,Profile,,Shared / Home,ARB source,,
138,profileBody,"You'll be able to manage your details, language, and care preferences here.",,Shared / Home,ARB source,,
139,profileTitle,Your profile is coming soon,,Shared / Home,ARB source,,
140,queueAvailableToday,Live Queue is available for today's appointment.,,Live Queue,ARB source,,
141,queueNotReady,Your queue entry is not ready yet. We'll update this appointment when it becomes available.,,Live Queue,ARB source,,
142,queueOpensAppointmentDay,Queue opens on appointment day.,,Appointments,ARB source,,
143,queueUpdates,Queue updates,,Live Queue,ARB source,,
144,quickCategories,Quick categories,,Shared / Home,ARB source,,
145,rateVisit,Rate Visit,,Shared / Home,ARB source,,
146,recommendedDoctors,Recommended doctors,,Doctors,ARB source,,
147,relationship,Relationship,,Shared / Home,ARB source,,
148,removeFromMyDoctors,Remove from My Doctors,,Doctors,ARB source,,
149,resendCode,Resend code,,Shared / Home,ARB source,,
150,resendIn,Resend in {seconds}s,,Shared / Home,ARB source,seconds,Preserve placeholders exactly.
151,returnHome,Return Home,,Shared / Home,ARB source,,
152,reviewAppointment,Review appointment,,Appointments,ARB source,,
153,savingLanguage,Saving language,,Localization,ARB source,,
154,searchHint,"Search doctors, clinics or specialties",,Shared / Home,ARB source,,
155,seeAll,See all,,Shared / Home,ARB source,,
156,sendCode,Send code,,Shared / Home,ARB source,,
157,sessionExpiredBody,Verify your number again to continue securely.,,Authentication,ARB source,,
158,sessionExpiredTitle,Your session has expired,,Authentication,ARB source,,
159,sortResults,Sort results,,Shared / Home,ARB source,,
160,status,Status,,Shared / Home,ARB source,,
161,tabWithCount,{label} ({count}),,Shared / Home,ARB source,"label,count",Preserve placeholders exactly.
162,time,Time,,Shared / Home,ARB source,,
163,timeUnavailable,Time unavailable,,Shared / Home,ARB source,,
164,today,Today,,Shared / Home,ARB source,,
165,tryAgain,Try again,,Shared / Home,ARB source,,
166,unread,Unread,,Shared / Home,ARB source,,
167,unreadNotifications,{count} unread,,Notifications,ARB source,count,Preserve placeholders exactly.
168,upcoming,Upcoming,,Shared / Home,ARB source,,
169,verify,Verify and continue,,Shared / Home,ARB source,,
170,verifyNumber,Verify my number,,Shared / Home,ARB source,,
171,viewAppointment,View Appointment,,Appointments,ARB source,,
172,viewDoctor,View Doctor,,Doctors,ARB source,,
173,viewLiveQueue,View live queue,,Live Queue,ARB source,,
174,viewProfile,View profile,,Shared / Home,ARB source,,
175,viewUpdate,View update,,Shared / Home,ARB source,,
176,welcomeAppointments,Keep your care organized,,Authentication,ARB source,,
177,welcomeBody,"Saxlem brings trusted care, appointments, and live clinic updates into one calm experience.",,Authentication,ARB source,,
178,welcomeBook,Find and book trusted doctors,,Authentication,ARB source,,
179,welcomeQueue,Understand your place in the live queue,,Authentication,ARB source,,
180,welcomeTitle,"Healthcare, made clearer",,Authentication,ARB source,,
181,welcomeTrust,Built for patients across Kurdistan and Iraq,,Authentication,ARB source,,
182,whatHappened,What happened,,Shared / Home,ARB source,,
183,whatToDoNext,What to do next,,Shared / Home,ARB source,,
184,whyItHappened,Why,,Shared / Home,ARB source,,
185,yourNumber,Your Number,,Shared / Home,ARB source,,
186,filterNeighborhood,Neighborhood,,Shared / Home,Hardcoded at mobile/lib/features/discover/presentation/pages/discover_page.dart:324,,Move into ARB.
187,filterDoctorGender,Doctor gender,,Doctors,Hardcoded at mobile/lib/features/discover/presentation/pages/discover_page.dart:354,,Move into ARB.
188,filterLanguages,Languages,,Localization,Hardcoded at mobile/lib/features/discover/presentation/pages/discover_page.dart:372,,Move into ARB.
189,availableToday,Available today,,Shared / Home,Hardcoded at mobile/lib/features/discover/presentation/pages/discover_page.dart:392,,Move into ARB.
190,availableNow,Available now,,Shared / Home,Hardcoded at mobile/lib/features/discover/presentation/pages/discover_page.dart:398,,Move into ARB.
191,verifiedDoctorsOnly,Verified doctors only,,Doctors,Hardcoded at mobile/lib/features/discover/presentation/pages/discover_page.dart:404,,Move into ARB.
192,shortestExpectedWait,Shortest expected wait,,Shared / Home,Hardcoded at mobile/lib/features/discover/presentation/pages/discover_page.dart:410,,Move into ARB.
193,maximumFee,Maximum fee: {amount},,Shared / Home,Hardcoded at mobile/lib/features/discover/presentation/pages/discover_page.dart:417,amount,Move into ARB.
194,showDoctors,Show doctors,,Doctors,Hardcoded at mobile/lib/features/discover/presentation/pages/discover_page.dart:430,,Move into ARB.
195,loadingLiveQueue,Loading your live queue,,Live Queue,Hardcoded at mobile/lib/features/live_queue/presentation/widgets/live_queue_loading_view.dart:10,,Move into ARB.
196,offlineQueueUnavailable,You are offline and no saved queue update is available.,,Live Queue,Hardcoded at mobile/lib/features/live_queue/presentation/pages/live_queue_page.dart:101,,Move into ARB.
197,queueStatusSemantic,Queue status: {status},,Live Queue,Hardcoded at mobile/lib/features/live_queue/presentation/widgets/queue_status_indicator.dart:30,status,Move into ARB.
198,durationMinutes,{duration} min,,Shared / Home,Hardcoded at mobile/lib/features/booking/presentation/widgets/clinic_option_card.dart:43,duration,Move into ARB.

