number,product_area,surface,source_file_module,localization_key,review_locale,english_source,current_arabic,current_badini,placeholders_interpolations,context,reason,final_status,final_notes
15,Shared/navigation,Clinic Portal,clinic-portal/src/i18n/index.ts,welcome,Badini,Welcome patient at reception,معلومات,پێشوازیێ ل نەخوشی بکە,None,"Shown in shared portal/mobile navigation, dashboard, or common UI.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
16,Shared/navigation,Clinic Portal,clinic-portal/src/i18n/index.ts,queueLoad,Badini,Queue load,معلومات,بارێ سرایێ,None,"Shown in shared portal/mobile navigation, dashboard, or common UI.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
17,Shared/navigation,Clinic Portal,clinic-portal/src/i18n/index.ts,availability,Badini,Next availability,معلومات,بەردەستییا ل دویفرا,None,"Shown in shared portal/mobile navigation, dashboard, or common UI.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
18,Shared/navigation,Clinic Portal,clinic-portal/src/i18n/index.ts,count,Badini,{count} patients,معلومات,نەخوش {count},{count},"Shown in shared portal/mobile navigation, dashboard, or common UI.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
19,Shared/navigation,Clinic Portal,clinic-portal/src/i18n/index.ts,viewLiveQueue,Badini,View Live Queue,معلومات,رێزبەندییا زندی ببینە,None,"Shown in shared portal/mobile navigation, dashboard, or common UI.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
20,Shared/navigation,Clinic Portal,clinic-portal/src/i18n/index.ts,emptyBody,Badini,"There are no appointments, queues, or arrivals for this shift.",لا توجد مواعيد أو قوائم انتظار أو حالات وصول خلال هذه الفترة.,د ڤی شێفتی دا چ ژڤان، سرا یان هاتن نینن.,None,"Shown in shared portal/mobile navigation, dashboard, or common UI.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
21,Shared/navigation,Clinic Portal,clinic-portal/src/i18n/index.ts,unavailable,Badini,Portal session unavailable,جلسة البوابة غير متاحة.,دانیشتنا پۆرتالێ بەردەست نینە,None,"Shown in shared portal/mobile navigation, dashboard, or common UI.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
22,Shared/navigation,Clinic Portal,clinic-portal/src/i18n/index.ts,unavailableBody,Badini,The receptionist demo session is disabled in this environment.,جلسة الاستقبال التجريبية معطّلة في هذه البيئة.,دانیشتنا تاقیکرنا پێشوازی د ڤی ژینگەهی دا نەچالاککرییە.,None,"Shown in shared portal/mobile navigation, dashboard, or common UI.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
23,Shared/navigation,Clinic Portal,clinic-portal/src/i18n/index.ts,update1,Badini,Dr. Karwan is running 12 minutes late.,معلومات,زانیاری,None,"Shown in shared portal/mobile navigation, dashboard, or common UI.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,DEMO_EXCLUDED,Fixed development-demo dashboard notice emitted only by MockDashboardRepository; production composition exposes no dashboard service. No translation approval applied.
24,Shared/navigation,Clinic Portal,clinic-portal/src/i18n/index.ts,update2,Badini,Dr. Shilan's queue is paused for a short break.,معلومات,زانیاری,None,"Shown in shared portal/mobile navigation, dashboard, or common UI.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,DEMO_EXCLUDED,Fixed development-demo dashboard notice emitted only by MockDashboardRepository; production composition exposes no dashboard service. No translation approval applied.
25,Shared/navigation,Clinic Portal,clinic-portal/src/i18n/index.ts,update3,Badini,Two appointments need reception review at 2:00 PM.,معلومات,زانیاری,None,"Shown in shared portal/mobile navigation, dashboard, or common UI.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,DEMO_EXCLUDED,Fixed development-demo dashboard notice emitted only by MockDashboardRepository; production composition exposes no dashboard service. No translation approval applied.
26,Profile/family,Clinic Portal,clinic-portal/src/i18n/index.ts,subtitle,Arabic,Find a patient and understand what happens next.,ابحث عن مريض واطلع على الخطوة التالية.,ل نەخوشەکێ بگەرە و بزانە ل دویفرا چ دبیت.,None,Shown in patient/profile/family context.,The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
27,Profile/family,Clinic Portal,clinic-portal/src/i18n/index.ts,noPatientsBody,Arabic,There are no patients to show.,لا يوجد مرضى لعرضهم.,چ نەخوش بو نیشاندانێ نینن.,None,Shown in patient/profile/family context.,The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
28,Profile/family,Clinic Portal,clinic-portal/src/i18n/index.ts,noResultsBody,Arabic,"Check the name, phone number, or patient ID and try again.",تحقق من الاسم أو رقم الهاتف أو رقم المريض وحاول مرة أخرى.,ناڤ، ژمارا موبایلێ یان ژمارا نەخوشی بپشکنە و دیسان هەول بدە,None,Shown in patient/profile/family context.,The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
29,Profile/family,Clinic Portal,clinic-portal/src/i18n/index.ts,noArrivalsBody,Arabic,No patients are expected to arrive today.,لا يُتوقع وصول أي مرضى اليوم.,ئەڤرو چ نەخوش ناهێن,None,Shown in patient/profile/family context.,The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
30,Profile/family,Clinic Portal,clinic-portal/src/i18n/index.ts,noRecentBody,Arabic,Patients you open will appear here.,سيظهر هنا المرضى الذين تفتح ملفاتهم.,نەخوشێن کو تو ڤەدکەی دێ ل ڤێرێ دیار بن.,None,Shown in patient/profile/family context.,The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
31,Profile/family,Clinic Portal,clinic-portal/src/i18n/index.ts,notFoundBody,Arabic,This patient workspace is not available.,مساحة عمل هذا المريض غير متاحة.,جهێ کارێ ڤی نەخوشی بەردەست نینە.,None,Shown in patient/profile/family context.,The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
32,Profile/family,Clinic Portal,clinic-portal/src/i18n/index.ts,searchHint,Badini,"Search by name, phone number, or patient ID",معلومات,ب ناڤ، ژمارا موبایلێ یان ژمارا نەخوشی لێ بگەرە,None,Shown in patient/profile/family context.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
33,Profile/family,Clinic Portal,clinic-portal/src/i18n/index.ts,recentlyViewed,Badini,Recently Viewed,شوهد مؤخراً,نویکترین دیتی,None,Shown in patient/profile/family context.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
34,Profile/family,Clinic Portal,clinic-portal/src/i18n/index.ts,lastAppointment,Badini,Last appointment,معلومات,دووماهیک ژڤان,None,Shown in patient/profile/family context.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
35,Profile/family,Clinic Portal,clinic-portal/src/i18n/index.ts,noPatientsBody,Badini,There are no patients to show.,لا يوجد مرضى لعرضهم.,چ نەخوش بو نیشاندانێ نینن.,None,Shown in patient/profile/family context.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
36,Profile/family,Clinic Portal,clinic-portal/src/i18n/index.ts,noArrivals,Badini,No arrivals today,معلومات,ئەڤرو چ هاتن نینن,None,Shown in patient/profile/family context.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
37,Profile/family,Clinic Portal,clinic-portal/src/i18n/index.ts,noRecentBody,Badini,Patients you open will appear here.,سيظهر هنا المرضى الذين تفتح ملفاتهم.,نەخوشێن کو تو ڤەدکەی دێ ل ڤێرێ دیار بن.,None,Shown in patient/profile/family context.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
38,Profile/family,Clinic Portal,clinic-portal/src/i18n/index.ts,recentNotifications,Badini,Recent Notifications,معلومات,ئاگەهداریێن نوی,None,Shown in patient/profile/family context.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
39,Profile/family,Clinic Portal,clinic-portal/src/i18n/index.ts,queueUpdate,Badini,Queue update,معلومات,نویکرنا سرایێ,None,Shown in patient/profile/family context.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
40,Profile/family,Clinic Portal,clinic-portal/src/i18n/index.ts,viewHistory,Badini,View History,معلومات,مێژووی ببینە,None,Shown in patient/profile/family context.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
41,Profile/family,Clinic Portal,clinic-portal/src/i18n/index.ts,backToPatients,Badini,Back to Patients,معلومات,ب ڤەگەرە بو نەخوشان,None,Shown in patient/profile/family context.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
42,Profile/family,Clinic Portal,clinic-portal/src/i18n/index.ts,notFound,Badini,Patient not found,معلومات,نەخوش نەهاتە دیتن,None,Shown in patient/profile/family context.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
43,Profile/family,Clinic Portal,clinic-portal/src/i18n/index.ts,family,Badini,Family,معلومات,خێزان,None,Shown in patient/profile/family context.,The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
44,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,subtitle,Arabic,Understand today's schedule and what needs attention.,اطّلع على جدول اليوم وما يحتاج إلى انتباه.,خشتەیا ئەڤرو بزانە و تشتێن پێدڤی ب گرنگیدانێ بناسە.,None,"Shown in appointment lists, details, status, or appointment actions.",The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
45,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,searchLabel,Arabic,Search appointments,البحث في المواعيد,ل ژڤانان بگەرە,None,"Shown in appointment lists, details, status, or appointment actions.",The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
46,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,attentionHelp,Arabic,Resolve the most urgent schedule questions first.,عالج المسائل الأكثر إلحاحًا في الجدول أولًا.,پێش هەمیان کێشەێن گرنگ یێن خشتەیێ چارەسەر بکە.,None,"Shown in appointment lists, details, status, or appointment actions.",The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
47,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,upcomingHelp,Arabic,The next appointments in chronological order.,المواعيد التالية مرتبة حسب الوقت.,ژڤانێن ل دویفرا ب رێزا دەمی.,None,"Shown in appointment lists, details, status, or appointment actions.",The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
48,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,noAppointmentsBody,Arabic,There are no appointments scheduled for today.,لا توجد مواعيد مجدولة اليوم.,ئەڤرو چ ژڤان دیار نەکرینە.,None,"Shown in appointment lists, details, status, or appointment actions.",The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
49,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,noResultsBody,Arabic,"Check the patient, doctor, phone, or appointment ID.",تحقق من المريض أو الطبيب أو رقم الهاتف أو رقم الموعد.,نەخوش، نوژدار، ژمارا موبایلێ یان ژمارا ژڤانێ بپشکنە,None,"Shown in appointment lists, details, status, or appointment actions.",The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
50,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,noUpcomingBody,Arabic,There are no more upcoming appointments in this shift.,لا توجد مواعيد قادمة أخرى خلال هذه الفترة.,د ڤی شێفتی دا چ ژڤانێن داهاتی ماینە.,None,"Shown in appointment lists, details, status, or appointment actions.",The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
51,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,nothingAttentionBody,Arabic,Today's schedule has no unresolved issues.,لا توجد مشكلات غير محلولة في جدول اليوم.,خشتەیا ئەڤرو چ کێشەیا نەچارەسەرکری نینە.,None,"Shown in appointment lists, details, status, or appointment actions.",The Arabic value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
52,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,subtitle,Badini,Understand today's schedule and what needs attention.,اطّلع على جدول اليوم وما يحتاج إلى انتباه.,خشتەیا ئەڤرو بزانە و تشتێن پێدڤی ب گرنگیدانێ بناسە.,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
53,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,searchLabel,Badini,Search appointments,البحث في المواعيد,ل ژڤانان بگەرە,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
54,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,searchHint,Badini,"Search by patient, doctor, phone, or appointment ID",معلومات,ب نەخوش، نوژدار، ژمارا موبایلێ یان ژمارا ژڤانێ لێ بگەرە,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
55,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,todaySchedule,Badini,Today's Schedule,معلومات,خشتەیا ئەڤرو,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
56,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,waitingArrivals,Badini,Waiting arrivals,معلومات,هاتنێن ل چاڤەرێ,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
57,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,needsAttention,Badini,Needs Attention,معلومات,پێدڤی ب گرنگیدانێ,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
58,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,attentionHelp,Badini,Resolve the most urgent schedule questions first.,عالج المسائل الأكثر إلحاحًا في الجدول أولًا.,پێش هەمیان کێشەێن گرنگ یێن خشتەیێ چارەسەر بکە.,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
59,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,upcoming,Badini,Upcoming,معلومات,داهاتی,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
60,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,upcomingHelp,Badini,The next appointments in chronological order.,المواعيد التالية مرتبة حسب الوقت.,ژڤانێن ل دویفرا ب رێزا دەمی.,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
61,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,allToday,Badini,All Today's Appointments,معلومات,هەمی ژڤانێن ئەڤرو,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
62,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,noAppointmentsBody,Badini,There are no appointments scheduled for today.,لا توجد مواعيد مجدولة اليوم.,ئەڤرو چ ژڤان دیار نەکرینە.,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
63,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,noUpcomingBody,Badini,There are no more upcoming appointments in this shift.,لا توجد مواعيد قادمة أخرى خلال هذه الفترة.,د ڤی شێفتی دا چ ژڤانێن داهاتی ماینە.,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
64,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,patientLate,Badini,Patient is late,معلومات,نەخوش پاشکەفتییە,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
65,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,conflict,Badini,Appointment conflict,معلومات,ناکۆکییا ژڤانێ,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
66,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,duplicate,Badini,Possible duplicate booking,معلومات,دبیت گرتنا ژڤانی دووبارە بیت,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
67,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,missingPhone,Badini,Missing phone number,معلومات,ژمارا موبایلێ نینە,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
68,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,notArrived,Badini,Patient has not arrived,معلومات,نەخوش نەگەهشتییە,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
69,Appointments,Clinic Portal,clinic-portal/src/i18n/index.ts,appointmentWorkspace,Badini,Appointment Workspace,معلومات,جهێ کارێ ژڤانێ,None,"Shown in appointment lists, details, status, or appointment actions.",The Badini value was composed from approved terminology/patterns; no exact product-owner-approved value exists for this locale and full source sentence.,APPROVED_APPLIED,The exact product-owner-approved locale value was applied and verified.
