ID,English source,Arabic current,Badini current,Translation status,Surface,Feature,Source file/key,Hardcoded?,Duplicate/inconsistent?,Native review needed?,Notes
S13U-0092,About {minutes} minutes,نحو {minutes} دقيقة,نێزیکی {minutes} خولەکان,COMPLETE,Clinic Portal,queue,clinic-portal/src/features/live-queue/presentation/messages.ts#estimatedWait,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0093,Accepting new patients,يستقبل مرضى جدد,نەخۆشێن نوی وەردگریت,COMPLETE,Flutter,profile/account,"mobile/lib/l10n/app_{en,ar,ku}.arb#acceptingNewPatients",No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0094,Access token is invalid.,,,MACHINE_CONTRACT,Backend user-visible,authentication,backend/src/modules/identity/presentation/jwt-auth.guard.ts:60; backend/src/modules/identity/presentation/jwt-auth.guard.ts:69,No,No,No,Sprint 13U backend boundary classification: MACHINE_CONTRACT.
S13U-0095,Access token is no longer valid.,,,MACHINE_CONTRACT,Backend user-visible,authentication,backend/src/modules/identity/presentation/jwt-auth.guard.ts:97,No,No,No,Sprint 13U backend boundary classification: MACHINE_CONTRACT.
S13U-0096,Action,الإجراء,کار,COMPLETE,Clinic Portal,queue,clinic-portal/src/features/live-queue/presentation/messages.ts#action,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0097,Actions,الإجراء,کار,COMPLETE,Clinic Portal,clinic management,clinic-portal/src/features/clinical-presentation/messages.ts#actions,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0098,Active,نشط,چالاک,COMPLETE,Clinic Portal,billing,clinic-portal/src/features/administration/presentation/messages.ts#active; clinic-portal/src/features/billing/presentation/messages.ts#active; clinic-portal/src/features/clinical-presentation/messages.ts#active; clinic-portal/src/features/doctor-patients/presentation/messages.ts#active; clinic-portal/src/features/doctor-settings/presentation/messages.ts#active; clinic-portal/src/features/doctor/presentation/messages.ts#active; clinic-portal/src/i18n/index.ts#active,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0099,Active organization was not found.,,,USER_VISIBLE,Backend user-visible,administration,backend/src/modules/administration/presentation/administration.controller.ts:144,No,No,Yes,Sprint 13U backend boundary classification: USER_VISIBLE.
S13U-0100,Add arrival to queue,إضافة المريض إلى الطابور,هاتنێ بخە رێزێ,COMPLETE,Clinic Portal,queue,clinic-portal/src/features/live-queue/presentation/production-messages.ts#enqueue,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0101,Add family member,إضافة فرد من العائلة,ئەندامەکێ خێزانێ زێدە بکە,COMPLETE,Flutter,profile/account,"mobile/lib/l10n/app_{en,ar,ku}.arb#addPatient",No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0102,Add the essential details needed to personalize your care.,أضف المعلومات الأساسية اللازمة لتخصيص الرعاية.,زانیاریێن پێویست بۆ چاڤدێریا تایبەت تۆمار بکە.,COMPLETE,Flutter,profile/account,"mobile/lib/l10n/app_{en,ar,ku}.arb#profileSetupBody",No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0103,Add to My Doctors,إضافة إلى أطبائي,زێدە بکە بۆ نوژدارێن من,COMPLETE,Flutter,shared,"mobile/lib/l10n/app_{en,ar,ku}.arb#addToMyDoctors",No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0104,Administration,الإدارة,رێڤەبەری,COMPLETE,Clinic Portal,administration,clinic-portal/src/features/administration/presentation/messages.ts#administration; clinic-portal/src/features/portal-foundation/presentation/foundation-messages.ts#administration,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0105,Administration cursor is invalid.,,,MACHINE_CONTRACT,Backend user-visible,administration,backend/src/modules/administration/application/administration.service.ts:201,No,No,No,Sprint 13U backend boundary classification: MACHINE_CONTRACT.
S13U-0106,Affected appointment,الموعد المعني,ژڤانێ پەیوەندیدار,COMPLETE,Clinic Portal,doctor portal,clinic-portal/src/features/doctor-notifications/presentation/messages.ts#affectedAppointment,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0107,Affected patient,المريض المعني,نەخوشێ پەیوەندیدار,COMPLETE,Clinic Portal,doctor portal,clinic-portal/src/features/doctor-notifications/presentation/messages.ts#affectedPatient,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0108,Age,العمر,تەمەن,COMPLETE,Clinic Portal,doctor portal,clinic-portal/src/features/doctor-patients/presentation/messages.ts#age; clinic-portal/src/features/doctor/presentation/messages.ts#age; clinic-portal/src/i18n/index.ts#age,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0109,Alerts,التنبيهات,ئاگەهداری,COMPLETE,Flutter,notifications,"mobile/lib/l10n/app_{en,ar,ku}.arb#alerts",No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0110,Alerts are coming soon,التنبيهات قريباً,ئاگەهداری دێ بزوی بهێن,COMPLETE,Flutter,notifications,"mobile/lib/l10n/app_{en,ar,ku}.arb#alertsTitle",No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0111,All Patients,جميع المرضى,هەمی نەخوش,COMPLETE,Clinic Portal,profile/account,clinic-portal/src/i18n/index.ts#allPatients,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0112,All statuses,كل الحالات,هەمی دۆخ,COMPLETE,Clinic Portal,clinic management,clinic-portal/src/features/clinical-presentation/messages.ts#allStatuses,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0113,All Today's Appointments,معلومات,زانیاری,COMPLETE,Clinic Portal,appointments,clinic-portal/src/i18n/index.ts#allToday,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0114,An appointment in an active queue cannot be cancelled.,,,MACHINE_CONTRACT,Backend user-visible,appointments,backend/src/modules/appointments/infrastructure/prisma-appointment.repository.ts:352,No,No,No,Sprint 13U backend boundary classification: MACHINE_CONTRACT.
S13U-0115,Any,الكل,هەمی,COMPLETE,Flutter,shared,"mobile/lib/l10n/app_{en,ar,ku}.arb#anyOption",No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0116,Application Preferences,تفضيلات التطبيق,هەلبژارتنێن بەرنامەی,COMPLETE,Clinic Portal,doctor portal,clinic-portal/src/features/doctor-settings/presentation/messages.ts#applicationPreferences,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0117,Applied filters,المرشحات المطبقة,فلتەرێن جێبەجێکری,COMPLETE,Flutter,shared,"mobile/lib/l10n/app_{en,ar,ku}.arb#appliedFilters",No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0118,Apply filters,تطبيق عوامل التصفية,جوداکرنێ جێبەجێ بکە,COMPLETE,Clinic Portal; Flutter,clinic management,"clinic-portal/src/features/clinical-presentation/messages.ts#apply; mobile/lib/l10n/app_{en,ar,ku}.arb#applyFilters",No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0119,Appointment,الموعد,ژڤان,COMPLETE,Clinic Portal,appointments,clinic-portal/src/i18n/index.ts#appointment,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0120,Appointment cannot be booked in the past.,,,MACHINE_CONTRACT,Backend user-visible,appointments,backend/src/modules/appointments/application/appointment.service.ts:448,No,No,No,Sprint 13U backend boundary classification: MACHINE_CONTRACT.
S13U-0121,Appointment cannot be completed.,,,MACHINE_CONTRACT,Backend user-visible,appointments,backend/src/modules/appointments/infrastructure/prisma-appointment-queue-completion.port.ts:30; backend/src/modules/queue/infrastructure/prisma-queue.repository.ts:801,No,No,No,Sprint 13U backend boundary classification: MACHINE_CONTRACT.
S13U-0122,Appointment cannot cross a clinic-local day.,,,MACHINE_CONTRACT,Backend user-visible,doctor portal,backend/src/modules/doctors/application/doctor-schedule.service.ts:127,No,No,No,Sprint 13U backend boundary classification: MACHINE_CONTRACT.
S13U-0123,Appointment confirmed,تم تأكيد الموعد,ژڤان هاتە پشتراستکرن,COMPLETE,Clinic Portal; Flutter,appointments,"clinic-portal/src/i18n/index.ts#appointmentConfirmed; mobile/lib/l10n/app_{en,ar,ku}.arb#appointmentConfirmed; mobile/lib/l10n/app_{en,ar,ku}.arb#notificationBookingConfirmed",No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0124,Appointment conflict,معلومات,زانیاری,COMPLETE,Clinic Portal,appointments,clinic-portal/src/i18n/index.ts#conflict,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0125,Appointment conflicts with an existing appointment.,,,MACHINE_CONTRACT,Backend user-visible,appointments,backend/src/modules/appointments/infrastructure/prisma-appointment.repository.ts:460,No,No,No,Sprint 13U backend boundary classification: MACHINE_CONTRACT.
S13U-0126,Appointment Context,سياق الموعد,زانیاریێن ژڤانی,COMPLETE,Clinic Portal,doctor portal,clinic-portal/src/features/doctor/presentation/messages.ts#appointmentContext,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0127,Appointment created,تم إنشاء الموعد,ژڤان هاتە دروستکرن,COMPLETE,Clinic Portal,appointments,clinic-portal/src/i18n/index.ts#created,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0128,Appointment cursor is invalid for this query.,,,MACHINE_CONTRACT,Backend user-visible,appointments,backend/src/modules/appointments/infrastructure/prisma-appointment.repository.ts:70,No,No,No,Sprint 13U backend boundary classification: MACHINE_CONTRACT.
S13U-0129,Appointment date window must be positive and no longer than 366 days.,,,MACHINE_CONTRACT,Backend user-visible,appointments,backend/src/modules/appointments/application/appointment.service.ts:212,No,No,No,Sprint 13U backend boundary classification: MACHINE_CONTRACT.
S13U-0130,Appointment Details,تفاصيل الموعد,هویرکاتیێن ژڤانێ,COMPLETE,Flutter,appointments,"mobile/lib/l10n/app_{en,ar,ku}.arb#appointmentDetails",No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0131,Appointment details,تفاصيل الموعد,هویرکاتیێن ژڤانێ,COMPLETE,Clinic Portal,appointments,clinic-portal/src/features/clinical-presentation/messages.ts#appointmentDetails,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0132,"Appointment details are available, but arrival status could not be loaded.",تفاصيل الموعد متاحة، لكن تعذر تحميل حالة الوصول.,وردەکاریێن ژوانی بەردەستن، لێ رەوشا هاتنێ بار نەبوو.,COMPLETE,Clinic Portal,appointments,clinic-portal/src/features/arrivals/presentation/messages.ts#partialError,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0133,Appointment duration does not match booking configuration.,,,MACHINE_CONTRACT,Backend user-visible,appointments,backend/src/modules/appointments/application/appointment.service.ts:395,No,No,No,Sprint 13U backend boundary classification: MACHINE_CONTRACT.
S13U-0134,Appointment duration must be between 5 and 480 minutes.,,,MACHINE_CONTRACT,Backend user-visible,appointments,backend/src/modules/appointments/application/appointment.service.ts:387,No,No,No,Sprint 13U backend boundary classification: MACHINE_CONTRACT.
S13U-0135,Appointment ID,رقم الموعد,ژمارا ژڤانێ,COMPLETE,Clinic Portal; Flutter,appointments,"clinic-portal/src/features/clinical-presentation/messages.ts#reference; clinic-portal/src/features/live-queue/presentation/production-messages.ts#appointmentId; mobile/lib/l10n/app_{en,ar,ku}.arb#appointmentId",No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0136,Appointment ID {id},رقم الموعد {id},ناسناما ژڤانیێ {id},COMPLETE,Flutter,appointments,"mobile/lib/l10n/app_{en,ar,ku}.arb#appointmentIdValue",No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0137,Appointment is already enqueued.,,,MACHINE_CONTRACT,Backend user-visible,appointments,backend/src/modules/queue/infrastructure/prisma-queue.repository.ts:562,No,No,No,Sprint 13U backend boundary classification: MACHINE_CONTRACT.
S13U-0138,Appointment is not eligible for this queue.,,,MACHINE_CONTRACT,Backend user-visible,appointments,backend/src/modules/queue/infrastructure/prisma-queue.repository.ts:548; backend/src/modules/queue/infrastructure/prisma-queue.repository.ts:553,No,No,No,Sprint 13U backend boundary classification: MACHINE_CONTRACT.
S13U-0139,Appointment is not ready for the queue.,,,MACHINE_CONTRACT,Backend user-visible,appointments,backend/src/modules/queue/infrastructure/prisma-queue.repository.ts:897,No,No,No,Sprint 13U backend boundary classification: MACHINE_CONTRACT.
S13U-0140,Appointment is outside effective working time.,,,MACHINE_CONTRACT,Backend user-visible,doctor portal,backend/src/modules/doctors/application/doctor-schedule.service.ts:139; backend/src/modules/doctors/application/doctor-schedule.service.ts:161,No,No,No,Sprint 13U backend boundary classification: MACHINE_CONTRACT.
S13U-0141,Appointment notifications,إشعارات المواعيد,ئاگەهداریێن ژڤانان,COMPLETE,Clinic Portal,doctor portal,clinic-portal/src/features/doctor-settings/presentation/messages.ts#appointmentNotifications,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0142,Appointment page size must be between 1 and 50.,,,MACHINE_CONTRACT,Backend user-visible,appointments,backend/src/modules/appointments/application/appointment.service.ts:220,No,No,No,Sprint 13U backend boundary classification: MACHINE_CONTRACT.
S13U-0143,Appointment participants are unavailable or outside scope.,,,MACHINE_CONTRACT,Backend user-visible,appointments,backend/src/modules/appointments/infrastructure/prisma-appointment.repository.ts:137,No,No,No,Sprint 13U backend boundary classification: MACHINE_CONTRACT.
S13U-0144,Appointment reason,سبب الموعد,ئەگەرێ ژڤانێ,COMPLETE,Clinic Portal,doctor portal,clinic-portal/src/features/doctor-schedule/presentation/messages.ts#appointmentReason,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0145,Appointment reason must contain 1 to 500 characters.,,,MACHINE_CONTRACT,Backend user-visible,appointments,backend/src/modules/appointments/application/appointment.service.ts:526,No,No,No,Sprint 13U backend boundary classification: MACHINE_CONTRACT.
S13U-0146,Appointment reference,مرجع الموعد,ناسناما ژڤانێ,COMPLETE,Clinic Portal; Flutter,billing,"clinic-portal/src/features/billing/presentation/messages.ts#appointment; clinic-portal/src/features/live-queue/presentation/production-messages.ts#appointmentReference; mobile/lib/l10n/app_{en,ar,ku}.arb#appointmentReference",No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0147,Appointment reference {reference},مرجع الموعد {reference},ژمارا ژڤانێ {reference},COMPLETE,Flutter,appointments,"mobile/lib/l10n/app_{en,ar,ku}.arb#appointmentReferenceValue",No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0148,Appointment reminder,تذكير بالموعد,بیرئینانا ژڤانێ,COMPLETE,Clinic Portal,appointments,clinic-portal/src/i18n/index.ts#reminder,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0149,Appointment rescheduled,تم تغيير موعد الحجز,دەمێ ژڤانێ هاتە گهورین,COMPLETE,Clinic Portal,doctor portal,clinic-portal/src/features/doctor-notifications/presentation/messages.ts#rescheduled,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0150,Appointment start time is invalid.,,,MACHINE_CONTRACT,Backend user-visible,doctor portal,backend/src/modules/appointments/application/appointment.service.ts:340; backend/src/modules/doctors/application/doctor-schedule.service.ts:174,No,No,No,Sprint 13U backend boundary classification: MACHINE_CONTRACT.
S13U-0151,Appointment status,حالة الموعد,رەوشا ژڤانێ,COMPLETE,Clinic Portal,appointments,clinic-portal/src/features/arrivals/presentation/messages.ts#appointmentStatus,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0152,Appointment Summary,معلومات,زانیاری,COMPLETE,Clinic Portal,appointments,clinic-portal/src/i18n/index.ts#summary,No,No,No,Explicit Arabic and Badini catalog values; no supported-locale English spread fallback.
S13U-0153,Appointment tenant does not match authenticated clinic.,,,MACHINE_CONTRACT,Backend user-visible,authentication,backend/src/modules/appointments/application/appointment.service.ts:405,No,No,No,Sprint 13U backend boundary classification: MACHINE_CONTRACT.
